Team,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Atlanta Hawks,16545.73171,15648.68293,15199.78788,15125.5122,14339.68293,17412.41463,16832.92683,15958.68293,14409,15327.80488,16042.73529
Boston Celtics,18169.78049,18624,18624,18624,18107.31707,17593.90244,18270.14634,18553.41463,18169.7561,18624,16968.44444
Brooklyn (formerly New Jersey) Nets,13103.17073,14179.95122,13961.18182,17187.85366,17251.97561,17037.29268,15125.41463,15429.46341,15177.5122,14941.39024,14580.75
Charlotte Hornets,,,,,15518.73171,17192.34146,17485.21951,17332.7561,16375.70732,16501.70732,15438.41935
Chicago Bulls,20725.85366,21791.7561,22161.39394,21876.68293,21716.34146,21343.68293,21820.95122,21678.82927,20776.19512,20084.7561,18804.47059
Cleveland Cavaliers,20562,20112.07317,15926.57576,16192.2439,17329.80488,20562,20562,20562,20562,19349.68293,17321.55556
Dallas Mavericks,19994.39024,20101.5122,20334.84848,20036.34146,19950.78049,20187.85366,20143.92683,19789.41463,19791.53659,20013.87805,17949.89474
Denver Nuggets,17995.41463,16901.65854,17029.27273,17819.90244,16899.95122,14700.17073,14095.07317,14770.36585,17141.36585,18450.17073,17112.24324
Detroit Pistons,18751.85366,16660.4878,14413.27273,14782.78049,15005.80488,15266.26829,16515.56098,15979.04878,17413.29268,16486.90244,15438.27273
Golden State Warriors,18027.31707,18692.63415,18857.90909,19373.65854,19596,19596,19596,19596,19596,19596,18064
Houston Rockets,16528.2439,16191.19512,15363.45455,16672.29268,18123.95122,18229.56098,17981.56098,16973.2439,17463.60976,18058.34146,16068.27778
Indiana Pacers,14202.31707,13538.46341,14168.51515,15269.97561,17501.02439,16864.2439,16847.14634,16697.02439,16051.68293,16812.43902,16068.27778
Los Angeles Clippers,16343,17742.97561,19219.30303,19226.65854,19212,19168.09756,19192.92683,19088.02439,17019.80488,17325.04878,16949.33333
Los Angeles Lakers,18997,18997,18997,18997,18828.63415,18737.65854,18997,18949.19512,18934.80488,18997,16825.91429
Memphis Grizzlies,13485.70732,14650.90244,15704.72727,16624.70732,16718.4878,17329.31707,16697.63415,16519.85366,15947.87805,14818.63415,14143.16216
Miami Heat,17730.12195,19778.78049,19935,19982.68293,19781.36585,19712.7561,19740.2439,19643.90244,19152.43902,19640.58537,17493.63889
Milwaukee Bucks,15108.60976,15412.43902,14718.69697,15035.82927,13487,14907.95122,15166.04878,15828.09756,16714.70732,17602.2439,15686.74286
Minnesota Timberwolves,15101.70732,15242.92683,17490.81818,16340.39024,14564.80488,14528.09756,14175.07317,14809.82927,17056.29268,15305.92683,15066
New Orleans Pelicans (formerly Hornets),15130.87805,14709.46341,15109.63636,13803.17073,16390.95122,16677,16793.87805,16173.14634,16437.07317,16004.46341,14671.44
New York Knickerbockers,19501.21951,19728.7561,19763,19033,19812,19812,19812,19774.17073,19331.90244,19002.12195,18811.78788
Oklahoma City Thunder,18003.63415,18148,18203,18203,18203,18203,18203,18203,18203,18203,16235.10811
Orlando Magic,17461,18972,18896.57576,17595.46341,16245.02439,16785.21951,17543.29268,17753.04878,17456.78049,17561.56098,15139.14286
Philadelphia 76ers,14224.85366,14751.78049,17502.93939,16717.36585,13869.07317,13940.78049,14881,17330.65854,20329.34146,20441.26829,18271.17143
Phoenix Suns,17648.34146,17567.04878,15597.51515,15436.90244,15871.68293,16923.46341,17107.43902,17283.87805,16455,15293.2439,14118.79487
Portland Trail Blazers,20497.82927,20510.34146,20496.48485,19829.56098,19746.63415,19554.46341,19367.92683,19317.78049,19398.2439,19496.21951,16906.5
Sacramento Kings,13254.04878,13890.14634,14508,13749.82927,16291.43902,16586.56098,17256.73171,17608,15843.19512,17096.95122,14876.08571
San Antonio Spurs,18089.65854,18314.12195,18396.81818,18431.70732,18415.39024,18606.21951,18449.87805,18423.09756,18403.95122,18307.70732,16191.61765
Toronto Raptors,17897.17073,16566.04878,16835.87879,18144.78049,18252.17073,19751.80488,19825.92683,19830.4878,19839.78049,19824.92683,17596
Utah Jazz,19378.34146,19511.7561,19306.78788,18680.85366,18175.68293,18830.70732,19304.60976,19673.29268,17922.09756,18306,16213.88571
Washington Wizards,16204.82927,16791.85366,16728.42424,16343.17073,17026.04878,18238.92683,17693.31707,17002.60976,17535.26829,17487.70732,14797.27778
